YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2018-2019,Billy Garrett,NYK,24,4,1,3,15.9,70.4,29.6,84.6,23.1,0,0,15.4,0,61.5,45.5,54.5,0,0,45.5,54.5
2018-2019,Bismack Biyombo,CHA,26,54,24,30,14.5,100,0,75.4,5.1,0,3,24.6,10.6,70.3,76.4,23.6,0,0,76.4,23.6
2018-2019,Blake Griffin,DET,30,75,39,36,35,61.1,38.9,46.7,2.9,30.8,5.5,22.5,13.2,43.8,34,66,56.1,43.9,40.7,59.3
2018-2019,Boban Marjanovic,PHI,30,58,31,27,11.7,96.2,3.8,73.9,5.7,2.8,4,23.2,16.1,68.2,66,34,100,0,66.9,33.1
2018-2019,Bobby Portis,WAS,24,50,14,36,26,69.6,30.4,57.5,10.4,31.7,8.9,10.8,15.5,47,53.4,46.6,100,0,65.9,34.1
2018-2019,Bogdan Bogdanovic,SAC,26,70,32,38,27.8,56.9,43.1,45.9,12.1,40.6,12.1,13.5,13.7,33.7,38.3,61.7,79.1,20.9,53.5,46.5
2018-2019,Bojan Bogdanovic,IND,30,81,47,34,31.8,63.3,36.7,49.2,9.4,33.8,18.6,16.9,21,39.9,64.2,35.8,92.1,7.9,73,27
2018-2019,Bonzie Colson,MIL,23,8,6,2,12.3,46.2,53.8,41,5.1,38.5,23.1,20.5,7.7,35.9,87.5,12.5,100,0,92.3,7.7
2018-2019,Brad Wanamaker,BOS,29,36,27,9,9.5,62.9,37.1,48.6,12.9,34.3,32.1,17.1,20,35.7,41.2,58.8,75,25,52,48
2018-2019,Bradley Beal,WAS,25,82,32,50,36.9,63,37,52.9,14,29.9,13.7,17.2,14.2,38.9,42.5,57.5,71.8,28.2,50.5,49.5
2018-2019,Brandon Goodwin,DEN,23,16,10,6,3.6,73.9,26.1,34.8,0,26.1,21.7,39.1,47.8,34.8,25,75,100,0,50,50
2018-2019,Brandon Ingram,LAL,21,52,25,27,33.9,87.1,12.9,69.7,14.7,9.8,17.7,20.5,11.6,54.9,36.3,63.7,90.3,9.7,40.9,59.1
2018-2019,Brandon Knight,CLE,27,39,17,22,18.9,50.4,49.6,43.6,19.5,46.2,10.2,10.2,15.4,24.1,20.7,79.3,58.5,41.5,36.4,63.6
2018-2019,Brandon Sampson,CHI,22,14,3,11,15.3,51.7,48.3,47.9,0,46.5,15.5,5.6,18.3,47.9,76.5,23.5,90.9,9.1,82.1,17.9
2018-2019,Brook Lopez,MIL,31,81,60,21,28.7,34.9,65.1,33.3,3,55.6,7.1,11.1,8.3,30.3,64.9,35.1,95.2,4.8,80.8,19.2
2018-2019,Bruce Brown,DET,22,74,35,39,19.6,70.4,29.6,63.3,1.3,22.6,15,14.1,20.7,62.1,61.4,38.6,95.8,4.2,68,32
2018-2019,Bruno Caboclo,MEM,23,34,14,20,23.5,42.2,57.8,34,2.1,51.1,6,14.9,15.6,31.9,66.7,33.3,97.9,2.1,82.3,17.7
2018-2019,Bryn Forbes,SAS,25,82,48,34,28,47.8,52.2,38.3,17.4,54.6,15.1,7.1,13.3,20.9,54.6,45.4,84.7,15.3,69.3,30.7
2018-2019,Buddy Hield,SAC,26,82,39,43,31.9,52.1,47.9,40.7,14.6,49.2,24.3,10.1,17.6,26.1,50.4,49.6,84.2,15.8,65.5,34.5
2018-2019,C.J. Williams,MIN,29,15,4,11,8.5,54.3,45.7,61.5,25.6,38.5,10.3,0,15.4,35.9,50,50,60,40,52.9,47.1
2018-2019,CJ McCollum,POR,27,70,43,27,33.9,64.2,35.8,55,21.8,34.1,12.9,10.8,12,33.2,35.6,64.4,73.1,26.9,46.6,53.4
2018-2019,CJ Miles,MEM,32,53,33,20,16.2,34.7,65.3,26.5,8.3,59.3,14.7,14.2,11.5,18.3,66.7,33.3,97,3,84.8,15.2
2018-2019,Caleb Swanigan,SAC,22,21,10,11,8.5,86.8,13.2,79.1,4.7,7,9.3,14,14,74.4,47.1,52.9,100,0,50,50
2018-2019,Cameron Payne,CLE,24,40,7,33,17.8,62.3,37.7,56.8,12,30,9.2,13.2,15.6,44.8,29.6,70.4,64,36,38.5,61.5
2018-2019,Cameron Reynolds,MIN,24,19,6,13,13.7,34.6,65.4,25.3,8.4,66.3,7.4,8.4,21.1,16.8,75,25,95.2,4.8,87.9,12.1
2018-2019,Caris LeVert,BKN,24,40,19,21,26.6,68.1,31.9,58.1,1.5,26.3,9,15.5,17.7,56.7,31.4,68.6,45.8,54.2,34.8,65.2
2018-2019,Carmelo Anthony,HOU,35,10,4,6,29.4,47.1,52.9,41.8,17.9,47,8.2,11.2,6.7,23.9,42.9,57.1,90.5,9.5,63.3,36.7
2018-2019,Cedi Osman,CLE,24,76,17,59,32.2,55.7,44.3,46.4,8.1,39.4,13.6,14.2,12.4,38.3,50,50,83.8,16.2,62.2,37.8
2018-2019,Chandler Hutchison,CHI,23,44,10,34,20.3,76.1,23.9,71.6,6.1,18.3,26.2,10,21.8,65.5,62.2,37.8,100,0,67.7,32.3
2018-2019,Chandler Parsons,MEM,30,25,11,14,19.8,48.4,51.6,41.7,10.7,46.5,16,11.8,7,31,66.7,33.3,82.8,17.2,73.5,26.5
2018-2019,Channing Frye,CLE,36,36,7,29,9.5,32.5,67.5,17.1,7.8,74.4,0,8.5,6.2,9.3,72.7,27.3,96.9,3.1,90.7,9.3
