YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2017-2018,Brandon Jennings,MIL,28,14,8,6,14.7,54.2,45.8,49.3,21.9,37,9.6,13.7,2.7,27.4,22.2,77.8,66.7,33.3,37,63
2017-2018,Brandon Paul,SAS,27,64,38,26,9,57.5,42.5,54.4,4.1,30.6,19,15,26.5,50.3,70,30,93.3,6.7,76.4,23.6
2017-2018,Briante Weber,MEM,25,18,8,10,13.1,74.4,25.6,60,16,24,24,16,30,44,20,80,25,75,21.1,78.9
2017-2018,Brice Johnson,MEM,24,18,2,16,5.4,97.6,2.4,93,18.6,0,4.7,7,25.6,74.4,65,35,0,0,65,35
2017-2018,Brook Lopez,LAL,30,74,34,40,23.4,59,41,53.5,6,35,6.1,11.6,8.3,47.5,54.5,45.5,98.2,1.8,67.8,32.2
2017-2018,Bruno Caboclo,SAC,22,12,4,8,8.9,45.2,54.8,46.2,15.4,34.6,0,19.2,26.9,30.8,33.3,66.7,100,0,55.6,44.4
2017-2018,Bryn Forbes,SAS,24,80,46,34,19,54.1,45.9,43.2,21.3,48.1,12.6,8.6,17.3,22,68.3,31.7,94.4,5.6,79.4,20.6
2017-2018,Buddy Hield,SAC,25,80,27,53,25.3,56.3,43.7,44.5,18.7,48.9,17.2,6.6,20.7,25.8,44.2,55.8,77.3,22.7,58.2,41.8
2017-2018,C.J. Williams,LAC,28,38,17,21,18.6,60.4,39.6,62.2,16.3,31.6,15.3,6.2,12.4,45.9,67.7,32.3,77.3,22.7,70.1,29.9
2017-2018,CJ McCollum,POR,26,81,48,33,36.1,68.4,31.6,55.2,21.8,32.7,9.5,12.1,13.2,33.4,21.8,78.2,62.4,37.6,33.3,66.7
2017-2018,CJ Miles,TOR,31,70,50,20,19.1,24.2,75.8,18,3.4,70.4,7.2,11.6,14.2,14.6,63.5,36.5,93.3,6.7,85,15
2017-2018,Caleb Swanigan,POR,21,27,16,11,7,86.7,13.3,75.4,6.6,4.9,8.2,19.7,14.8,68.9,69.6,30.4,100,0,70.8,29.2
2017-2018,Cameron Payne,CHI,23,25,7,18,23.3,57.7,42.3,47.1,9,47.5,19.5,5.4,12.2,38,15.4,84.6,62.9,37.1,34.5,65.5
2017-2018,Caris LeVert,BKN,23,71,25,46,26.2,66.7,33.3,54.8,6.1,29.7,16.8,15.5,19.1,48.7,30.2,69.8,72.9,27.1,41.6,58.4
2017-2018,Carmelo Anthony,OKC,34,78,46,32,32.1,59.4,40.6,48.1,28.7,40.2,11,11.7,15.3,19.3,37.6,62.4,87.6,12.4,55.5,44.5
2017-2018,Cedi Osman,CLE,23,61,35,26,11,53.2,46.8,48.7,12.6,40.3,18.1,10.9,16,36.1,51.7,48.3,93.8,6.3,66.7,33.3
2017-2018,Chandler Parsons,MEM,29,36,12,24,19.2,48.3,51.7,40.1,12,53.9,9.9,6,15.5,28.2,36.8,63.2,82.4,17.6,58.3,41.7
2017-2018,Channing Frye,LAL,35,53,28,25,13.1,45.8,54.2,49.2,15.9,44.3,1.9,6.4,12.1,33.3,75.4,24.6,100,0,84.6,15.4
2017-2018,Charles Cooke,NOP,23,13,8,5,2.9,42.9,57.1,33.3,0,50,0,16.7,0,33.3,0,100,100,0,50,50
2017-2018,Cheick Diallo,NOP,21,52,29,23,11.2,100,0,80.3,13.4,0,9.8,19.7,14.2,66.9,82.4,17.6,0,0,82.4,17.6
2017-2018,Chinanu Onuaku,HOU,21,1,0,1,21.6,100,0,100,0,0,50,0,50,100,50,50,0,0,50,50
2017-2018,Chris Boucher,GSW,25,1,1,0,1.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Chris McCullough,WAS,23,19,11,8,4.7,81,19,73.9,17.4,6.5,15.2,19.6,13,56.5,88.2,11.8,100,0,88.9,11.1
2017-2018,Chris Paul,HOU,33,58,50,8,31.8,52.5,47.5,41.3,17.8,40,9.5,18.8,14.8,23.5,8.1,91.9,24.3,75.7,14.4,85.6
2017-2018,Clint Capela,HOU,24,74,62,12,27.5,99.9,0.1,86,0.6,0,7.3,14,13.8,85.4,81.9,18.1,0,0,81.9,18.1
2017-2018,Cody Zeller,CHA,25,33,14,19,19,98.1,1.9,71.2,8.6,2.6,5.2,26.2,17.6,62.7,79.5,20.5,100,0,80,20
2017-2018,Cole Aldrich,MIN,29,21,14,7,2.3,100,0,83.3,0,0,0,16.7,0,83.3,80,20,0,0,80,20
2017-2018,Corey Brewer,OKC,32,72,32,40,16.8,65.2,34.8,58.4,2.6,24.5,26.3,17.1,22.4,55.8,60.4,39.6,100,0,69,31
2017-2018,Cory Joseph,IND,26,82,48,34,27,68.5,31.5,58.2,27.4,31,11.1,10.8,14.6,30.8,27,73,91,9,43.8,56.3
2017-2018,Courtney Lee,NYK,32,76,27,49,30.4,63.2,36.8,50.4,20.6,37.1,14.1,12.5,19.6,29.8,49.1,50.9,79.6,20.4,59.2,40.8
2017-2018,Cristiano Felicio,CHI,25,55,13,42,17.8,99.1,0.9,82.5,7.1,0,9.1,17.5,17.5,75.3,75.6,24.4,0,0,75.6,24.4
2017-2018,D'Angelo Russell,BKN,22,48,16,32,25.7,58.6,41.4,50.6,15.1,36.3,9.3,13.1,11,35.5,14.4,85.6,64.4,35.6,30.6,69.4
2017-2018,D.J. Augustin,ORL,30,75,23,52,23.5,49.6,50.4,33.9,5.7,44.6,10.8,21.4,14,28.2,23.1,76.9,67.5,32.5,43.9,56.1
2017-2018,D.J. Wilson,MIL,22,22,12,10,3.2,68.8,31.3,66.7,0,28.6,19,4.8,23.8,66.7,71.4,28.6,100,0,77.8,22.2
2017-2018,Dakari Johnson,OKC,22,31,21,10,5.2,100,0,80,18.2,0,10.9,20,29.1,61.8,72.7,27.3,0,0,72.7,27.3
2017-2018,Damian Jones,GSW,23,15,7,8,5.9,100,0,88,8,0,8,12,16,80,81.8,18.2,0,0,81.8,18.2
2017-2018,Damian Lillard,POR,27,73,44,29,36.6,55.5,44.5,40.2,11.6,34.7,8.1,25.1,12.8,28.5,18,82,43.6,56.4,27.4,72.6
2017-2018,Damien Wilkins,IND,38,19,10,9,8,53.8,46.2,54.5,6.1,36.4,3,9.1,9.1,48.5,22.2,77.8,75,25,38.5,61.5
2017-2018,Damion Lee,ATL,25,15,4,11,27,60.5,39.5,58.4,12.4,28,9.9,13.7,16.1,46,66,34,100,0,74.2,25.8
2017-2018,Damyean Dotson,NYK,24,44,11,33,10.8,57.8,42.2,54.9,23.1,36.3,13.2,8.8,13.7,31.9,64,36,100,0,75,25
2017-2018,Daniel Hamilton,OKC,22,6,5,1,4.6,54.5,45.5,50,0,50,16.7,0,41.7,50,33.3,66.7,50,50,40,60
2017-2018,Daniel Theis,BOS,26,63,44,19,14.9,75.1,24.9,65.3,10.9,16.3,3,18.4,8.5,54.4,75.9,24.1,100,0,79.4,20.6
2017-2018,Danilo Gallinari,LAC,29,21,11,10,32,56.6,43.4,41.1,16.8,33.6,10,25.2,11.8,24.3,60.6,39.4,83.3,16.7,68.6,31.4
2017-2018,Danny Green,SAS,31,70,40,30,25.6,43,57,33.7,10,58,14.3,8.3,17.3,23.7,62.4,37.6,99.1,0.9,82,18
2017-2018,Dante Cunningham,BKN,31,73,34,39,21.4,53.8,46.2,50.8,6.2,41.7,12,7.4,16.3,44.6,84.9,15.1,98.3,1.7,89.6,10.4
2017-2018,Dante Exum,UTA,22,14,10,4,16.8,79.3,20.7,64.9,1.8,13.2,12.3,21.9,8.8,63.2,29.7,70.3,80,20,35.7,64.3
2017-2018,Danuel House Jr.,PHX,25,23,6,17,17.5,55,45,53.9,2.6,29.6,26.3,16.4,21.7,51.3,51.2,48.8,86.7,13.3,60.7,39.3
2017-2018,Dario Saric,PHI,24,78,49,29,29.6,55.2,44.8,43.1,7.4,41.3,8.2,15.6,16,35.8,66.3,33.7,100,0,79.4,20.6
2017-2018,Darius Miller,NOP,28,82,48,34,23.7,26.5,73.5,21.7,13.5,69.2,10.5,9.1,12.2,8.2,59.4,40.6,95.9,4.1,84.3,15.7
2017-2018,Darrell Arthur,DEN,30,19,12,7,7.4,51.1,48.9,51.9,29.6,44.4,0,3.7,9.3,22.2,92.9,7.1,100,0,95.5,4.5
2017-2018,Darren Collison,IND,30,69,39,30,29.3,67.9,32.1,51.5,25,33.7,21.5,14.9,21.3,26.4,29.5,70.5,80.2,19.8,44.9,55.1
2017-2018,Darrun Hilliard,SAS,25,14,8,6,6.8,68.4,31.6,62.5,37.5,0,12.5,37.5,0,25,20,80,0,0,20,80
2017-2018,David Nwaba,CHI,25,70,26,44,23.5,87.7,12.3,66.3,1.1,9.7,22,24,18.7,65.2,52.2,47.8,94.4,5.6,55.9,44.1
2017-2018,David Stockton,UTA,27,3,3,0,3.1,0,100,0,0,60,0,40,20,0,0,0,0,100,0,100
2017-2018,David West,GSW,37,73,52,21,13.7,97.9,2.1,86.1,27.1,1.8,8.1,12.1,12.3,59,76.1,23.9,66.7,33.3,75.9,24.1
2017-2018,Davis Bertans,SAS,25,77,43,34,14.1,31.1,68.9,29.4,5.7,61.8,14.5,8.8,18.6,23.7,83.6,16.4,100,0,93.2,6.8
2017-2018,Davon Reed,PHX,23,21,2,19,11.5,50,50,34.9,9.5,52.4,11.1,12.7,9.5,25.4,45.5,54.5,100,0,72.7,27.3
2017-2018,De'Aaron Fox,SAC,20,73,24,49,27.7,80.8,19.2,66.6,20.1,16.7,18.8,16.7,16.4,46.4,21.7,78.3,61.7,38.3,27.4,72.6
2017-2018,DeAndre Jordan,LAC,29,77,39,38,31.5,100,0,80.5,0,0,10.9,19.5,14.7,80.5,66.5,33.5,0,0,66.5,33.5
2017-2018,DeAndre Liggins,NOP,30,58,34,24,12.5,50,50,41.6,17.8,56.4,17.8,2,14.9,23.8,42.9,57.1,94.7,5.3,67.5,32.5
2017-2018,DeAndre' Bembry,ATL,23,26,8,18,17.5,76.6,23.4,61.8,1.5,24.3,20.6,14,22.8,60.3,40.5,59.5,100,0,52.8,47.2
2017-2018,DeMar DeRozan,TOR,28,80,57,23,33.9,79.7,20.3,60.4,23.3,14.5,9.1,25.1,15.5,37.2,26.3,73.7,67.4,32.6,31.9,68.1
2017-2018,DeMarcus Cousins,NOP,27,48,27,21,36.2,66,34,49.9,5,25.8,7.4,24.3,14.1,45,41.1,58.9,94.2,5.8,54.7,45.3
2017-2018,DeMarre Carroll,BKN,31,73,25,48,29.9,50.2,49.8,36.6,3.5,44.3,13.9,19.1,14,33.2,46.1,53.9,93.1,6.9,67.1,32.9
2017-2018,Dejounte Murray,SAS,21,81,47,34,21.5,94.4,5.6,79.8,14.7,4.1,19.1,16.1,18.3,65.1,32.6,67.4,100,0,34.8,65.2
2017-2018,Delon Wright,TOR,26,69,49,20,20.8,64.6,35.4,52.3,2.2,30.3,20.4,17.5,21.8,50.1,24.8,75.2,78.6,21.4,39.8,60.2
2017-2018,Demetrius Jackson,PHI,23,15,12,3,5.3,61.1,38.9,75,0,18.8,0,6.3,25,75,16.7,83.3,0,100,14.3,85.7
2017-2018,Dennis Schroder,ATL,24,67,21,46,31,77.1,22.9,65.2,23.8,17.5,7.9,17.3,18.9,41.4,19.3,80.7,56.6,43.4,25,75
2017-2018,Dennis Smith Jr.,DAL,20,69,22,47,29.7,66.9,33.1,56.9,12.2,30.3,17.9,12.8,17.8,44.7,19.1,80.9,58.5,41.5,29.5,70.5
2017-2018,Denzel Valentine,CHI,24,77,26,51,27.2,48.7,51.3,40.4,12,54.8,20.2,4.9,16,28.4,48.7,51.3,79,21,63.1,36.9
2017-2018,Derrick Favors,UTA,26,77,46,31,28,91,9,80.7,10.6,4.4,5.5,14.8,14.5,70.1,78.5,21.5,100,0,79.2,20.8
2017-2018,Derrick Jones Jr.,MIA,21,20,9,11,12.3,66,34,59,0,14.8,19.7,26.2,16.4,59,27.8,72.2,100,0,38.1,61.9
2017-2018,Derrick Rose,MIN,29,25,15,10,16.8,83.9,16.1,70.8,11.5,10,16.3,19.1,14.8,59.3,40.5,59.5,57.1,42.9,42,58
2017-2018,Derrick Walton Jr.,MIA,23,16,8,8,9.2,32,68,6.9,6.9,72.4,6.9,20.7,6.9,0,0,100,71.4,28.6,62.5,37.5
2017-2018,Derrick White,SAS,23,17,7,10,8.2,60.6,39.4,29.6,7.4,44.4,7.4,25.9,14.8,22.2,25,75,62.5,37.5,43.8,56.3
2017-2018,Derrick Williams,LAL,27,2,1,1,4.3,50,50,100,0,0,0,0,100,100,100,0,0,0,100,0
2017-2018,Devin Booker,PHX,21,54,16,38,34.5,63.6,36.4,45.8,18.9,32.8,13.7,21.5,10.3,26.9,33.8,66.2,61.2,38.8,42.6,57.4
2017-2018,Devin Harris,DEN,35,71,33,38,18.9,50,50,36.3,3,39.8,15.5,23.9,15,33.3,55.6,44.4,74.7,25.3,63.6,36.4
2017-2018,Devin Robinson,WAS,23,1,0,1,13.2,100,0,100,0,0,0,0,0,100,0,100,0,0,0,100
2017-2018,Dewayne Dedmon,ATL,28,62,18,44,24.9,70.4,29.6,64.8,13.6,24.3,7,10.9,15.4,51.2,80,20,100,0,84,16
2017-2018,Deyonta Davis,MEM,21,62,16,46,15.2,100,0,89.4,16.7,0,12.8,10.6,14.2,72.8,77,23,0,0,77,23
2017-2018,Dillon Brooks,MEM,22,82,22,60,28.7,65.8,34.2,54.8,10.9,31.4,18.2,13.8,16.1,43.9,53.3,46.7,90.4,9.6,63.5,36.5
2017-2018,Dion Waiters,MIA,26,30,16,14,30.6,58.5,41.5,51.7,13.1,36.4,6.8,11.9,14.7,38.7,17.1,82.9,76.9,23.1,36.2,63.8
2017-2018,Dirk Nowitzki,DAL,40,77,24,53,24.7,55.5,44.5,44.9,33.2,44.7,5.2,10.5,10.1,11.7,77.4,22.6,100,0,86.4,13.6
2017-2018,Domantas Sabonis,IND,22,74,45,29,24.5,94.4,5.6,76,11.6,4.5,7.1,19.5,15.7,64.3,73.7,26.3,100,0,74.7,25.3
2017-2018,Donovan Mitchell,UTA,21,79,46,33,33.4,59.6,40.4,50.5,8.8,34.7,11.8,14.8,14.9,41.7,24.8,75.2,65.8,34.2,37.6,62.4
2017-2018,Dorian Finney-Smith,DAL,25,21,4,17,21.3,44.6,55.4,42.3,6.5,48.8,8.9,8.9,12.2,35.8,61.5,38.5,95,5,76.1,23.9
2017-2018,Doug McDermott,DAL,26,81,30,51,21.8,57.5,42.5,46,8.3,43.8,9.8,10.2,14.8,37.8,84.1,15.9,100,0,90.3,9.7
2017-2018,Dragan Bender,PHX,20,82,21,61,25.2,33.5,66.5,26,0.8,66.7,5.8,7.3,13.9,25.2,50.7,49.3,99.2,0.8,81.3,18.7
2017-2018,Draymond Green,GSW,28,70,48,22,32.7,58.6,41.4,52.8,4.1,29.9,19,17.3,16,48.6,71.6,28.4,90.9,9.1,76.9,23.1
2017-2018,Dwayne Bacon,CHA,22,53,25,28,13.5,77.6,22.4,69.7,32,18.9,8,11.4,17.7,37.7,52.5,47.5,100,0,59.7,40.3
2017-2018,Dwight Buycks,DET,29,29,10,19,14.7,77.3,22.7,62.3,23.3,20.9,12.1,16.7,20,39.1,28.4,71.6,40,60,30.5,69.5
2017-2018,Dwight Howard,CHA,32,81,35,46,30.4,99.2,0.8,75,6.2,0.2,3.2,24.8,13.1,68.7,56.8,43.2,100,0,56.9,43.1
2017-2018,Dwight Powell,DAL,26,79,23,56,21.2,80.5,19.5,67.7,4.5,12.5,5.2,19.8,10.9,63.2,82.8,17.2,100,0,84.7,15.3
2017-2018,Dwyane Wade,MIA,36,67,37,30,22.9,83.7,16.3,69.8,18.6,12.5,10.2,17.6,13.7,51.2,40.1,59.9,53.1,46.9,41.5,58.5
2017-2018,E'Twaun Moore,NOP,29,82,48,34,31.5,63.8,36.2,57.7,9.6,37.6,21.4,4.7,17.6,48.1,64.1,35.9,98.4,1.6,74.5,25.5
2017-2018,Ed Davis,POR,29,78,48,30,18.9,99.7,0.3,82.1,1.4,0,4.1,17.9,13.3,80.7,57.6,42.4,0,0,57.6,42.4
2017-2018,Edmond Sumner,IND,22,1,0,1,2.2,100,0,100,0,0,100,0,0,100,0,100,0,0,0,100
2017-2018,Ekpe Udoh,UTA,31,63,36,27,12.9,99.2,0.8,74.1,1.2,0,8,25.9,17.9,72.8,68.3,31.7,0,0,68.3,31.7
2017-2018,Elfrid Payton,PHX,24,63,13,50,28.7,86.2,13.8,75,7.5,11.3,19.1,13.7,13.8,67.5,20.7,79.3,83.3,16.7,26.4,73.6
2017-2018,Emeka Okafor,NOP,35,26,16,10,13.6,100,0,84.2,15.8,0,11.4,15.8,14,68.4,79.2,20.8,0,0,79.2,20.8
2017-2018,Emmanuel Mudiay,NYK,22,64,29,35,19.4,71.9,28.1,56.8,14.8,25.5,12.8,17.7,12.8,42,30.6,69.4,78.7,21.3,41.7,58.3
2017-2018,Enes Kanter,NYK,26,71,27,44,25.8,99.7,0.3,84.4,5.6,0,4.9,15.6,11.9,78.8,49.1,50.9,0,0,49.1,50.9
2017-2018,Eric Bledsoe,MIL,28,74,40,34,31.4,63.6,36.4,52.2,11.7,28.6,17.7,19.2,21.5,40.5,28,72,74.4,25.6,40.4,59.6
2017-2018,Eric Gordon,HOU,29,69,55,14,31.2,37.3,62.7,31.7,1.9,52.6,10.8,15.7,12.1,29.8,38.6,61.4,84.9,15.1,62.9,37.1
2017-2018,Eric Moreland,DET,26,67,32,35,12,100,0,92.3,2.8,0,10.5,7.7,8.4,89.5,71.2,28.8,0,0,71.2,28.8
2017-2018,Erik McCree,UTA,24,4,4,0,1.9,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-2018,Ersan Ilyasova,PHI,31,69,36,33,25.1,58.7,41.3,49.6,11.7,36.4,8,14,14.7,37.9,75.3,24.7,96.7,3.3,82.3,17.7
2017-2018,Evan Fournier,ORL,25,57,20,37,32.2,58.2,41.8,47.6,11.5,37.6,11.1,14.8,16.3,36.1,57.3,42.7,84.3,15.7,66.6,33.4
2017-2018,Evan Turner,POR,29,79,48,31,25.7,77.1,22.9,66.6,30.5,19.4,7.1,14,12.9,36.1,23.6,76.4,97.6,2.4,35.7,64.3
2017-2018,Frank Kaminsky,CHA,25,79,35,44,23.2,61.7,38.3,46.5,8.7,35.7,6,17.8,14.8,37.8,51.7,48.3,99,1,67.8,32.2
2017-2018,Frank Mason,SAC,24,52,17,35,18.9,77.4,22.6,54.7,16,22.5,15.3,22.8,16.5,38.7,25.7,74.3,48.4,51.6,30.6,69.4
2017-2018,Frank Ntilikina,NYK,19,78,28,50,21.9,68.6,31.4,57,26.3,32.4,7.3,10.6,14.7,30.7,33.3,66.7,80,20,46.2,53.8
2017-2018,Fred VanVleet,TOR,24,76,55,21,20,52.1,47.9,37.8,1.5,49.4,15.5,12.8,17.4,36.3,24.2,75.8,77.8,22.2,49.1,50.9
2017-2018,Furkan Korkmaz,PHI,20,14,11,3,5.7,39.3,60.7,26.1,0,65.2,30.4,8.7,39.1,26.1,33.3,66.7,100,0,75,25
2017-2018,Garrett Temple,SAC,32,65,23,42,24.8,52.3,47.7,40.2,19,48.8,11.3,11,18.3,21.2,42.7,57.3,88.8,11.2,63.3,36.7
2017-2018,Gary Harris,DEN,23,67,37,30,34.4,56.6,43.4,48.5,10.1,40,17.7,11.5,19.1,38.5,57.7,42.3,89.1,10.9,68.9,31.1
2017-2018,Gary Payton II,LAL,25,23,10,13,9.6,66.2,33.8,69.6,5.8,26.1,11.6,4.3,21.7,63.8,45.8,54.2,100,0,56.7,43.3
2017-2018,George Hill,CLE,32,67,28,39,27,60,40,45.3,12.6,38.2,12.4,16.5,12.7,32.7,31.8,68.2,75.3,24.7,47.5,52.5
2017-2018,Georges Niang,UTA,25,9,9,0,3.5,63.6,36.4,88.9,0,0,0,11.1,33.3,88.9,25,75,0,0,25,75
2017-2018,Georgios Papagiannis,POR,20,17,3,14,7.2,100,0,100,27.8,0,0,0,5.6,72.2,66.7,33.3,0,0,66.7,33.3
2017-2018,Gerald Green,HOU,32,41,33,8,22.7,27.8,72.2,23.3,7.2,66.4,12.9,10.3,15.3,16.1,50,50,77.3,22.7,67.9,32.1
2017-2018,Gian Clavell,DAL,24,7,0,7,9.1,16.7,83.3,0,0,90,0,10,15,0,0,0,100,0,100,0
2017-2018,Giannis Antetokounmpo,MIL,23,75,39,36,36.7,90,10,69.4,11.1,6.4,17.6,24.2,15.6,58.3,42.9,57.1,90.7,9.3,45.7,54.3
2017-2018,Glenn Robinson III,IND,24,23,14,9,14.7,60,40,46.3,12.6,44.2,14.7,9.5,16.8,33.7,63.6,36.4,100,0,77.8,22.2
2017-2018,Goran Dragic,MIA,32,75,39,36,31.7,72.1,27.9,57.6,13.4,25.7,14,16.7,18.5,44.1,27.3,72.7,78.4,21.6,39,61
2017-2018,Gordon Hayward,BOS,28,1,0,1,5.3,50,50,100,0,0,0,0,0,100,100,0,0,0,100,0
2017-2018,Gorgui Dieng,MIN,28,79,45,34,16.9,84.3,15.7,71.1,35.3,12.1,7.7,16.8,16.6,35.7,78.4,21.6,89.5,10.5,79.6,20.4
2017-2018,Greg Monroe,BOS,28,51,21,30,20.4,100,0,83.2,4.6,0,2.5,16.8,15.3,78.6,51.4,48.6,0,0,51.4,48.6
2017-2018,Guerschon Yabusele,BOS,22,33,24,9,7.1,39.3,60.7,35.4,7.6,45.6,6.3,19,6.3,27.8,78.6,21.4,100,0,88.5,11.5
2017-2018,Harrison Barnes,DAL,26,77,24,53,34.2,72.4,27.6,57.6,17.8,24.6,5.5,17.8,13.2,39.8,36.6,63.4,83.2,16.8,46.9,53.1
2017-2018,Hassan Whiteside,MIA,29,54,30,24,25.3,99.7,0.3,82.2,9.3,0.8,1.3,17,14.5,72.9,58.7,41.3,100,0,59,41
2017-2018,Henry Ellenson,DET,21,38,21,17,8.7,58.9,41.1,43.7,6.6,39.7,11.3,16.6,17.9,37.1,45.5,54.5,100,0,66,34
2017-2018,Ian Clark,NOP,27,74,43,31,19.7,60.6,39.4,58.1,17.1,33.8,15.8,8.2,13.2,41,55,45,80.6,19.4,62.2,37.8
2017-2018,Ian Mahinmi,WAS,31,77,42,35,14.9,99.2,0.8,75.4,2.2,0,2.5,24.6,10.9,73.2,62.3,37.7,0,0,62.3,37.7
2017-2018,Ike Anigbogu,IND,19,11,5,6,2.7,100,0,61.5,46.2,0,0,38.5,0,15.4,50,50,0,0,50,50
2017-2018,Iman Shumpert,SAC,28,14,9,5,19.7,55.2,44.8,48.4,25.8,33.9,4.8,17.7,0,22.6,46.7,53.3,42.9,57.1,45.5,54.5
2017-2018,Isaiah Canaan,PHX,27,20,9,11,21.1,51.8,48.2,34.9,2.3,38.4,14.5,26.7,18,32.6,20,80,59.1,40.9,36.5,63.5
2017-2018,Isaiah Hicks,NYK,23,18,4,14,13.3,87.5,12.5,77.5,10,7.5,7.5,15,25,67.5,80.6,19.4,100,0,81.8,18.2
2017-2018,Isaiah Taylor,ATL,23,67,18,49,17.4,79.5,20.5,64.3,4.9,13.5,16.4,22.2,16.2,59.3,26.6,73.4,75,25,32.5,67.5
2017-2018,Isaiah Thomas,LAL,29,32,15,17,26.9,55.3,44.7,42,13.6,34,17.3,24.1,15.2,28.4,27.5,72.5,54.5,45.5,36.9,63.1
2017-2018,Isaiah Whitehead,BKN,23,16,2,14,11.2,79.1,20.9,66,6,21,7,13,3,60,12.1,87.9,42.9,57.1,17.5,82.5
2017-2018,Ish Smith,DET,29,82,39,43,24.9,87.4,12.6,79.2,26.6,11.7,12.9,9.1,14.3,52.6,20.3,79.7,62.9,37.1,24.2,75.8
2017-2018,Ivan Rabb,MEM,21,36,6,30,14.3,100,0,85.6,25.9,0,7,14.4,13.9,59.7,68.6,31.4,0,0,68.6,31.4
2017-2018,Ivica Zubac,LAL,21,43,19,24,9.5,99.2,0.8,75.8,2.5,0,11.8,24.2,8.7,73.3,65.6,34.4,0,0,65.6,34.4
2017-2018,J.J. Barea,DAL,34,69,23,46,23.2,54.6,45.4,46.9,9.5,43.1,12.1,10,18.5,37.5,15.4,84.6,62.6,37.4,33.3,66.7
2017-2018,JJ Redick,PHI,34,70,45,25,30.2,47.7,52.3,35.2,24.4,48.3,12.7,16.4,15.2,10.9,76.8,23.2,90.2,9.8,83.2,16.8
2017-2018,JR Smith,CLE,32,80,49,31,28.1,36,64,29.3,13.6,64.8,10.6,5.9,13.6,15.7,32,68,91.6,8.4,67.5,32.5
2017-2018,JaKarr Sampson,SAC,25,22,6,16,15.6,87.7,12.3,75.7,3.9,14.6,3.9,9.7,20.4,71.8,53.8,46.2,100,0,59.1,40.9
2017-2018,JaMychal Green,MEM,28,55,11,44,28,74,26,63.3,12,22.7,12,14.1,16.7,51.3,58.3,41.7,97.7,2.3,65.9,34.1
2017-2018,JaVale McGee,GSW,30,65,45,20,9.5,97.3,2.7,87.7,7.7,0,14.5,12.3,16.1,80,82.4,17.6,0,0,82.4,17.6
2017-2018,Jabari Bird,BOS,23,13,8,5,8.8,73.1,26.9,61.5,0,23.1,5.1,15.4,15.4,61.5,75,25,100,0,80,20
2017-2018,Jabari Parker,MIL,23,31,16,15,24,75.6,24.4,66,17.9,23.8,14.6,10.2,18.4,48.1,58.1,41.9,96.8,3.2,65.6,34.4
2017-2018,Jack Cooley,SAC,27,7,4,3,12.5,100,0,65,0,0,7.5,35,7.5,65,61.5,38.5,0,0,61.5,38.5
2017-2018,Jacob Pullen,PHI,28,3,2,1,2,50,50,100,100,0,0,0,100,0,100,0,0,0,100,0
2017-2018,Jacob Wiley,BKN,23,5,1,4,6.7,50,50,0,0,75,0,25,75,0,0,0,100,0,100,0
2017-2018,Jae Crowder,UTA,27,80,52,28,26.1,49.2,50.8,41.7,8.8,42.7,10.3,15.7,17.7,32.9,80.7,19.3,92.7,7.3,85.6,14.4
2017-2018,Jahlil Okafor,BKN,22,28,7,21,12.6,97.1,2.9,86.4,8,1.7,3.4,11.9,9.1,78.4,48.7,51.3,0,100,48.1,51.9
2017-2018,Jake Layman,POR,24,35,22,13,4.6,57.4,42.6,58.8,17.6,35.3,20.6,5.9,38.2,41.2,60,40,100,0,71.4,28.6
2017-2018,Jakob Poeltl,TOR,22,82,59,23,18.6,99.5,0.5,88.9,2.1,0.5,6.7,10.6,16.6,86.8,73,27,100,0,73.1,26.9
2017-2018,Jalen Jones,DAL,25,16,3,13,11.3,61.8,38.2,43.2,2.7,40.5,0,16.2,16.2,40.5,43.8,56.3,70,30,53.8,46.2
2017-2018,Jamal Crawford,MIN,38,80,45,35,20.7,57.7,42.3,49.6,32.4,38,6.2,12.4,13,17.3,23,77,73.1,26.9,39.9,60.1
2017-2018,Jamal Murray,DEN,21,81,46,35,31.7,58.9,41.1,46.4,12,36.6,13.1,16.9,15.3,34.5,39.8,60.2,77,23,52.6,47.4
2017-2018,Jameel Warney,DAL,24,3,1,2,9,100,0,82.4,11.8,0,0,17.6,11.8,70.6,42.9,57.1,0,0,42.9,57.1
2017-2018,Jameer Nelson,DET,36,50,25,25,20.3,49.2,50.8,43.7,18.6,49.8,7.7,6.5,14.6,25.1,38.9,61.1,63.4,36.6,49.5,50.5
2017-2018,Jamel Artis,ORL,25,15,4,11,18.6,63.3,36.7,59.7,20.8,31.2,7.8,9.1,19.5,39,69.6,30.4,87.5,12.5,74.2,25.8
